Code,Name,Website,General Inquiries,Registration
32521,Australian Institute of Professionals (AIP) Pty Ltd,none,0430070587,Current
45390,"Australian International Studies Institute Pty Ltd
   Trading as:
Ambridge Institute",none,0291696878,Current
32044,"Australian Language Schools Pty Ltd
   Trading as:
International House Brisbane - ALS
IH Brisbane - ALS
Australian Language Schools
ALS Certificates and Diplomas",none,0732293389,Current
21368,"Australian National Institute of Business & Technology Pty Ltd
   Trading as:
Australian National Institute of Business & Technology",none,0393880402,Current
52007,"Australian Professional Skills Institute Pty Ltd
   Trading as:
Australian Professional Skills Institute",none,0863654386,Current
40219,Australian Skills Development Institute Pty Ltd,none,733742339,Current
32519,Australian Skills Group Pty Ltd,none,0738898233,Current
45556,Australian Technology and Agricultural College LTD,none,755478598,Current
45365,Australian Tertiary Institute Pty Ltd,none,(08)94982024,Current
31399,"Australian Trade Training College Ltd
   Trading as:
Australian Trade Training College",none,0734145979,Current
41104,"AUSTRALIAN TRAINING AND EDUCATION COLLEGE PTY LTD
   Trading as:
Australian Training And Education College
GILLS COLLEGE",none,0434693026,Current
5673,"Australian Training Company Limited
   Trading as:
AUSTRALIAN TRAINING COMPANY",none,0297041500,Current
31595,"Australian Training School Pty Ltd
   Trading as:
Southern Academy of Business and Technology",none,1300852205,Current
31707,"Auswright Training Pty Ltd
   Trading as:
First Choice Training
First Choice College",none,0756895060,Current
41418,"AVENTIA INSTITUTE PTY LTD
   Trading as:
Aventia Institute",none,0731133213,Current
2437,"Axial Training Pty Ltd
   Trading as:
Axial International College",none,0733874400,Current
40489,"Axiom Syndicate Pty Ltd as trustee for Axiom Syndicate Discretionary Trust
   Trading as:
Axiom College",none,0735108000,Current
41097,"BALLISTIC TRAINING SOLUTIONS PTY. LTD.
   Trading as:
Ballistic Training Solutions",none,1300738098,Current
40298,"Bandicoot Group Pty Ltd
   Trading as:
Salford College
Salford College of English and Languages
SALFORD COLLEGE OF BUSINESS AND HOSPITALITY",none,0882326190,Current
90301,"Baptist Business College Ltd
   Trading as:
Bedford College",none,0285723260,Current
22238,"Barkly International College Pty Ltd
   Trading as:
BARKLY INTERNATIONAL COLLEGE",none,0396002996,Current
91397,"Barrington Training Services Pty Ltd
   Trading as:
Barrington Training Services
Barrington's Vocational Training Academy
Be Trained by Barringtons",none,0298990600,Current
45030,BARRINGTON TRAINING SERVICES QUEENSLAND PTY LTD,none,0755625700,Current
90274,"Benchmark Resources Pty Ltd
   Trading as:
Benchmark College",none,(02)47223099,Current
22446,"Bentley College Pty Ltd
   Trading as:
Bentley College",none,0433033403,Current
40693,Berkeley Business Institute Pty Ltd,none,0283166666,Current
6673,"Booroongen Djugun Limited
   Trading as:
Booroongen Djugun College",none,0265602000,Current
41148,Brighten Institute Australia PTY Ltd,none,02)92231868,Current
45023,BRIGHTON COLLEGE PTY LTD,none,0731234911,Current
31983,"Brisbane Business & Hospitality Training Pty Ltd
   Trading as:
Brisbane Business & Hospitality Training
Byron Bay Hospitality Training",none,0731179722,Current
32303,"Brisbane Career College Pty Ltd
   Trading as:
SERO INSTITUTE
blockchain institute",none,1800206010,Current
31315,"Brisbane College of Australia Pty Ltd
   Trading as:
Brisbane College of Australia",none,0732100001,Current
21371,"BSI Learning Institute Pty Limited
   Trading as:
BSI Learning",none,(02)91269115,Current
40520,"CAIRNS COLLEGE OF ENGLISH Pty Ltd
   Trading as:
CAIRNS COLLEGE OF ENGLISH & BUSINESS",none,0740412322,Current
6554,"Canterbury Business College Pty Ltd
   Trading as:
Canterbury Business College",none,0292803733,Current
31645,Canterbury Technical Institute Pty Ltd,none,(07)31234055,Current
2658,"Capital Education Group Ltd
   Trading as:
ST PATRICK'S INSTITUTE OF EDUCATION
Patrick Careers Academy
Patrick's College Australia",none,0282529963,Current
45255,"Careers Training College Pty Ltd
   Trading as:
Macquarie International College",none,0421790111,Current
40939,"Central Queensland University
   Trading as:
CQUniversity Australia
Central Queensland University",none,132786,Current
0373,"Charles Darwin University
   Trading as:
NORTHERN TERRITORY RURAL COLLEGE
NORTH FLINDERS INTERNATIONAL HOUSE
CDU BOOKSHOP
TRAINING SOLUTIONS
CHARLES DARWIN UNIVERSITY FOUNDATION
UNIPRINT NT
CENTRE FOR YOUTH MUSIC
DESERT LANTERN RESTAURANT
EDTRAVEL NORTHERN TERRITORY
KARAWA RESTAURANT
TERRITORY FM
CDU Child Care Centre
CDU Northern Editions
CDU PRess
International House Darwin
IH Darwin",none,0889467640,Current
2508,"Charlton Brown Pty Ltd
   Trading as:
CHARLTON BROWN AUSTRALIA NANNY COLLEGE",none,0731530705,Current
32071,"Childcare Select Training Solutions Pty Ltd
   Trading as:
Venture Education",none,1300037000,Current
0260,"Chisholm Institute
   Trading as:
CHISHOLM INSTITUTE OF TAFE
CHISHOLM INSTITUTE",none,1300244746,Current
31430,"Churchill Education Pty Ltd
   Trading as:
CHURCHILL EDUCATION",none,1300793002,Current
41597,"CLINTON EDUCATION PTY LTD
   Trading as:
CLINTON INSTITUTE",none,0383942064,Current
52247,COLLABORATION LEARNING PTY LTD,none,1300854011,Current
22228,"College for Adult Learning Pty. Ltd. as The Trustee for Golding/Sabell Trust
   Trading as:
COLLEGE FOR ADULT LEARNING PTY LTD",none,1300907870,Current
31254,"College for Law and Justice Administration Pty Ltd as trustee for the Martin/Williams Family Trust
   Trading as:
COLLEGE FOR LAW
EDUCATION AND TRAINING
CLET Training",none,1300760605,Current
45120,"Corporate Business Academy Pty Ltd
   Trading as:
McIver College",none,0892254105,Current
31634,"CRUMPS INTERNATIONAL PTY LTD
   Trading as:
English in Paradise
ELSTON EDUCATION & TRAINING",none,0755706313,Current
31888,"D P Training Pty Ltd as The Trustee for Goodeve Family Trust
   Trading as:
Developing Personnel Training & Consultancy",none,1300130487,Current
1886,"Dovaston Consulting Group Pty Ltd
   Trading as:
DOVASTON TRAINING & ASSESSMENT CENTRE",none,0889418811,Current
45363,"Downtown Australia Pty Ltd
   Trading as:
Kingsford International Institute",none,0285999800,Current
40268,"Durban International College Pty Ltd
   Trading as:
Durban International College",none,0884107900,Current
41183,"DYNAMIC EDUCATION GROUP PTY LTD
   Trading as:
Keystone College of Business and Technology",none,0892211261,Current
91334,Easy HR Pty Ltd,none,1300667331,Current
45012,"Education Centre of Australia Pty Ltd
   Trading as:
ECA College",none,0293188181,Current
45121,"Education Investors Pty Ltd
   Trading as:
Vocational Skills Australia",none,0413106113,Current
5089,"Education Training & Employment Australia Pty. Ltd.
   Trading as:
Education Training & Employment Australia",none,131389,Current
45257,"Edufacts Pty Ltd
   Trading as:
WANT Training Services",none,0413889999,Current
45283,"Edunex Pty Ltd
   Trading as:
EduNex Training",none,0422026273,Current
40952,ENTREPRENEUR EDUCATION PTY LTD,none,0755386569,Current
52010,Excellent Accounts Pty Ltd,none,0861481300,Current
41452,"F & Z EDUCATION PTY LTD
   Trading as:
Kingston Academy of Australia",none,0423345281,Current
45709,FINANCIAL MARKETS INSTITUTE OF AUSTRALIA,none,0266581400,Current
6333,Flexible Training Solutions Pty Ltd,none,0398521100,Current
31981,"Flossink Pty Ltd
   Trading as:
Prestige Service Training
Knowledge Connections
Prestige Health and Wellness",none,1300368097,Current
22557,FOUNDATION EDUCATION PTY LTD,none,1300616197,Current
21244,"Frontier Training and Technology Pty Ltd
   Trading as:
Frontier Institute of Technology",none,0390411820,Current
41477,GAMMA EDUCATION & TRAINING PTY. LTD.,none,730757099,Current
32305,Gateway Training Academy Pty Ltd,none,0434965394,Current
0366,"GEM College of International Business (Australia) Pty Ltd
   Trading as:
Workright Australia
Digital Marketing Academy
SCORPION TRAINING SOLUTIONS
EM Academy Australia
GEM College Australia
ECO-ACADEMY
FOOD PROCESSORS",none,0883423316,Current
91175,"George Education Group Pty Ltd
   Trading as:
WIN English Centre
WIN College",none,0282529999,Current
45252,"Get Set Vocational Education and Training Pty Ltd
   Trading as:
Get Set Education",none,1300446448,Current
41340,"GLOBAL EDUCATION CONSULTANT PTY. LTD.
   Trading as:
Dalton College",none,0390431668,Current
41154,"GLOBAL EDUCATIONAL INITIATIVE PTY. LTD.
   Trading as:
Bright Minds Point",none,0435427808,Current
31192,Global Training Institute Pty Ltd,none,1800998500,Current
40623,"Gold Coast Institute of Technology Pty Ltd
   Trading as:
Gold Coast Institute of Technology
GC Institute",none,1800367732,Current
45028,"GOLD COAST INTERNATIONAL COLLEGE PTY. LTD.
   Trading as:
Gold Coast International College",none,0755546907,Current
40515,"Gold Training Pty Ltd
   Trading as:
Gold Training",none,1300885121,Current
22088,"GREENHILL EDUCATION GROUP PTY LTD
   Trading as:
Oakhill English School
Royal Greenhill Institute of Technology",none,(03)86399000,Current
91153,"Greenwich English College Pty Ltd
   Trading as:
Greenwich College
Greenwich English College
Greenwich Management College",none,0420908491,Current
45109,"GROW Training Group Pty Ltd
   Trading as:
GROW Care Academy
MumsInc
Health Training Academy",none,0755082894,Current
90784,H&H Accredited Training Australasia Inc,none,0296820100,Current
45704,H&H Accredited Training Pty Ltd,none,0296820100,Current
45330,HARBOURSIDE INSTITUTE OF AUSTRALIA PTY LTD,none,0430167907,Current
6996,"HGT Australia Ltd
   Trading as:
Novaskill
TriSpace Training",none,0249066709,Current
21583,"House of Learning Pty Ltd
   Trading as:
BUILDERS ACADEMY OF AUSTRALIA",none,1300534363,Current
45151,Hunter Institute of Fashion Pty Ltd,none,402371732,Current
91746,IBN College Pty Ltd,none,292998766,Current
45672,ICOBEA pty ltd,none,61401837121,Current
91109,"IH Sydney Training Services Pty Ltd
   Trading as:
International House Sydney",none,0292790933,Current
40651,"IHTIDAL JABBOURI
   Trading as:
Bankstown Education and Skills Training Centre",none,0297910015,Current
31564,"ILSC (Brisbane) Pty Ltd
   Trading as:
ILSC BUSINESS COLLEGE
ILSC Sydney
ILSC Melbourne
ILSC Greystone College
ILSC Adelaide",none,0411489995,Current
31302,"Imagine Education Australia Pty Ltd as Trustee for The Imagine Education Australia Unit Trust
   Trading as:
Imagine Education Australia",none,0755862245,Current
41506,Ingress Training Academy Pty Ltd,none,0435555952,Current
41393,Insight Academy Pty Ltd,none,0386097430,Current
32142,Insight Training Group Australia Pty Ltd,none,1300046744,Current
32067,Inspire Education Pty Ltd,none,1800506509,Current
32337,Institute of Advanced Business Studies Pty Ltd,none,0394733678,Current
30100,Intech Institute of Technology Pty Ltd,none,0733697441,Current
45360,"INTERNATIONAL COLLEGE OF AUSTRALIA PTY LTD
   Trading as:
Western Sydney College",none,0286287973,Current
41136,International College of Melbourne Pty Ltd,none,0396623344,Current
41171,"INTERNATIONAL FITNESS INSTITUTE PTY LTD
   Trading as:
Page Institute",none,0422379282,Current
41282,"International Institute Brisbane Pty Ltd
   Trading as:
Institute of Intellect Blending",none,0280727651,Current
51687,"International Institute of Business and Technology (Australia) Pty Ltd
   Trading as:
International Institute of Business and Technology",none,0861802188,Current
40684,"INTERNATIONAL SKILLS AND EDUCATION COLLEGE PTY LTD
   Trading as:
Australian Lifesaver Training
Coolangatta First Aid",none,0417657962,Current
90940,J2S Training Solutions Pty Ltd,none,1300764828,Current
40345,"Jabin Hopkins Pty Ltd
   Trading as:
Jabin Hopkins Institute of Technology",none,0882233557,Current
41557,"JASAGENCY PTY. LTD.
   Trading as:
Sun Pacific College",none,0438188736,Current
40697,"JOAN LAWMAN SCHOOL OF BEAUTY PTY LTD
   Trading as:
Joan Lawman College",none,0386691438,Current
91434,"Joblink Plus Ltd
   Trading as:
Joblink Plus
Australian Training Plus",none,0267646858,Current
50030,"Keyseq Pty Ltd
   Trading as:
Phoenix Academy",none,61892356000,Current
45279,"KNIT GROUP AUSTRALIA PTY LTD
   Trading as:
SOUTH SYDNEY COLLEGE (SSC)",none,0425361641,Current
91219,"KS Training Pty Ltd
   Trading as:
K.S.Training",none,(02)8887630,Current
20665,"L.P. Communications Pty Ltd
   Trading as:
The Learning Professionals
NETGAIN Australia",none,1300043045,Current
41504,"LANEWAY EDUCATION PTY LTD
   Trading as:
Laneway International College
Laneway Education",none,0406094816,Current
40679,Lawson College Australia Pty Ltd,none,0397912211,Current
91341,"Learning Lab Pty Ltd
   Trading as:
KIRANA COLLEGES AUSTRALIA",none,1300854011,Current
31719,"Learning Partnerships in Business Pty Ltd
   Trading as:
Learning Partnerships
Learning Partnerships in Business Pty Ltd",none,0747281555,Current
45516,"LEARNING VICTORIA PTY LTD
   Trading as:
INSTITUTE OF BUSINESS AND MANAGEMENT (VICTORIA)",none,0394783163,Current
41179,"LET TRAINING AND CONSULTATION SERVICES PTY. LTD.
   Trading as:
LET Training
Australian Further Education and Training Academy",none,0296333929,Current
41178,"LEXIS ASIA PTY. LTD.
   Trading as:
LEXIS TESOL TRAINING CENTRES
Lexis Training",none,0754792272,Current
5877,"Lifetime International.Com Pty Ltd
   Trading as:
Lifetime International Training College",none,0738472080,Current
41404,"LINDEN COLLEGE PTY LTD
   Trading as:
The Institute of Modern Finance
Creative Business Academy
Global Academy of Leadership and Entrepreneurship",none,1300228338,Current
91136,"Logic Entity Australia Pty Ltd
   Trading as:
Abbey College Australia
Abbey Training",none,0290558558,Current
21915,Lonsdale Institute Pty Ltd,none,0396390543,Current
31827,"Look Now Pty Ltd
   Trading as:
Look Now Training",none,0459352525,Current
91305,"Macquarie Education Group Australia Pty Ltd
   Trading as:
Macquarie English
Macquarie Education Group Australia
MEGA Education",none,0292996788,Current
91088,Management Consultancy International Pty Ltd,none,1300768550,Current
45444,"Mandarin Institute of Victoria Pty Ltd
   Trading as:
Alice Spring College",none,0433399178,Current
70250,"MASTERS IN TRAINING PTY LTD
   Trading as:
MASTERS IN TRAINING",none,0390051951,Current
91428,"Maxis Solutions Pty Ltd
   Trading as:
Maxis Solutions",none,1300885791,Current
90924,"Maxwells Services Pty Ltd
   Trading as:
AUSTRALIAN COLLEGE OF HIGHER STUDIES
MAXWELLS SERVICES
Specter Training Australia",none,1300600888,Current
88187,McMillan Staff Development Pty Ltd,none,0262300266,Current
41577,Mechanical Institute of Training and Technology Pty Ltd,none,131389,Current
45456,"Melbourne Centre for Technology Studies Pty Ltd
   Trading as:
Niashi School of Management and Technology",none,0424129923,Current (Re-registration pending)
45479,"MELBOURNE SKILLS INSTITUTE PTY. LTD
   Trading as:
AUSTRALIAN ACADEMY OF BUSINESS AND SUPPORT",none,0479137151,Current
21683,"Mentor Education Pty Ltd
   Trading as:
MENTOR EDUCATION (A&NZ)",none,0400096793,Current
21808,Mentor Human Resources Pty Ltd,none,52218933,Current
6859,"Milcom Communications Pty Ltd
   Trading as:
Milcom Institute",none,0405314100,Current
22530,Monarch Institute Pty Ltd,none,1300738955,Current
32321,"Montere eCollege Pty Ltd
   Trading as:
Royal Gateway",none,(07)30885457,Current
41087,"Move Academy Pty Ltd
   Trading as:
Move Academy",none,1800125002,Current
0249,"MVJ Enterprises Pty Ltd
   Trading as:
PERTH COLLEGE OF BEAUTY THERAPY",none,(08)93613111,Current
41143,"NATIONAL INSTITUTE OF TECHNOLOGY PTY. LTD.
   Trading as:
NIT Australia",none,0862692300,Current
41462,NATIONAL SKILLS TRAINING INSTITUTE PTY. LTD.,none,0412529520,Current
21792,"National Training Pty Ltd
   Trading as:
National Training",none,0416091485,Current
60034,NDA Computing Pty Ltd,none,0363344910,Current
41437,"NEWTON COLLEGE PTY. LTD.
   Trading as:
NEWTON COLLEGE",none,0396400057,Current
40788,"Nithi College Pty Ltd
   Trading as:
ILLOURA COLLEGE",none,0400069679,Current
41302,"NITT PTY LTD
   Trading as:
Darwin Graduate School of Management
Darwin College",none,0478515615,Current
40222,"North East Development Agency Inc
   Trading as:
North East Vocational College
Building Technology Institute South Australia",none,0883979500,Current
91781,"Nortwest Pty Ltd
   Trading as:
City Institute",none,0291146870,Current
45082,"NOVUS EDUCATION PTY. LTD.
   Trading as:
Novus Education",none,0425072090,Current
45501,NSW Institute of Education and Training Pty Ltd,none,0414582876,Current
41492,"Old School Technical Training Pty Ltd
   Trading as:
CAMDEN COLLEGE",none,0468429212,Current
45522,ONE 2 ONE SERVICES PTY LTD,none,0466113898,Current (Re-registration pending)
41595,"OPEC SYSTEMS PTY LTD
   Trading as:
OPEC College",none,1300996732,Current
45192,Orana Fashion Business College Pty Ltd,none,0291998555,Current
45290,"ORANGE EDUCATION GROUP PTY LTD
   Trading as:
Eve College",none,0279030700,Current
41315,"ORANGE INTERNATIONAL COLLEGE PTY LTD
   Trading as:
Orange International College
ORANGE COLLEGE",none,0396702985,Current
45322,Original Campus Pty Ltd,none,0390420682,Current
30915,"Orion Training and Performance Management Pty Ltd
   Trading as:
Orion Training",none,07)33927055,Current
91151,Pacific College Pty Ltd,none,0296497767,Current
41536,PAKENHAM INSTITUTE PTY LTD,none,0484723450,Current
90276,"Parramatta College Inc, The
   Trading as:
Parramatta College Inc
The",none,0296872072,Current
45045,"Penfold College Pty Ltd
   Trading as:
PENFOLD COLLEGE",none,0434424456,Current
52014,"Perth College of Business and Technology Pty Ltd
   Trading as:
PERTH COLLEGE OF BUSINESS AND TECHNOLOGY",none,0892021003,Current
51586,"Pivot Solutions Pty Ltd
   Trading as:
The Pivot Institute
MINE TRAINING AUSTRALIA",none,0892211803,Current
91808,Precision Training Australia Pty Ltd,none,1300885791,Current
45024,PRO LEADERS ACADEMY PTY. LTD.,none,1300000752,Current
41209,"Propel Education and Training Pty Ltd as The Trustee for Propel Education and Training Trust
   Trading as:
The Barber Academy",none,0458945108,Current
41386,"Providore Three Pty Ltd
   Trading as:
Austral College",none,0429335529,Current
5304,"QIBA Pty Ltd
   Trading as:
QUEENSLAND INTERNATIONAL BUSINESS ACADEMY",none,0411555960,Current
40813,"QIHE Pty Ltd
   Trading as:
Mastery Institute Australia",none,1300135825,Current
40747,"REACH COMMUNITY COLLEGE PTY LTD
   Trading as:
TAE COLLEGE AUSTRALIA",none,0361695508,Current
91280,REACH for Training Pty Ltd,none,0249569455,Current
31222,"Real Group Pty Ltd
   Trading as:
College Australia",none,0732550506,Current
40700,RED MAKO LEARNING PTY LTD,none,0733391400,Current
40950,"RHODES GROUP AUSTRALIA PTY. LTD.
   Trading as:
Rhodes Business School",none,0420835520,Current
40177,SG Learning and Development Pty Ltd,none,0408827477,Current
32373,"Skills Recognition International Pty Ltd
   Trading as:
Skills Recognition International
International Skills Group",none,1300909956,Current
2401,"Skills Strategies International Pty Ltd
   Trading as:
Skills Strategies International
ACCESS COACHING",none,61432180,Current
91720,"Smart Academy Pty Ltd
   Trading as:
Business Leadership Institute Australia",none,0286065653,Current
21567,Smarter Pty Ltd,none,1800194421,Current
51771,"SMR Learning Services Pty Ltd
   Trading as:
New Horizons Learning Centre (Perth)
TrainSmart Australia
Australian Academy of Allied Health",none,0892659600,Current
45697,"Spark SA Investments Pty Ltd
   Trading as:
Spark College of Trades
Spark Automotive College
Spark International College",none,0424460179,Current
45044,SQUARE EDUCATION GROUP PTY. LTD.,none,0416824487,Current
40514,Stanford College Australia Pty Ltd,none,(03)96708893,Current
51973,Stanley International College Pty Ltd,none,0863719999,Current
21979,"Star Gazers Education Pty Ltd
   Trading as:
DANFORD COLLEGE",none,0396421667,Current
45180,"STARK INSTITUTE PTY LTD
   Trading as:
STARK INSTITUTE",none,0469338334,Current
2417,"Sterling Business College Pty Ltd
   Trading as:
STERLING BUSINESS COLLEGE
ELITE COLLEGE AUSTRALIA",none,0403052828,Current
90283,"Steven Millard & Associates Pty Ltd the Trustee for Millard Family Trust
   Trading as:
National College of Vocational Education",none,0244782500,Current
31418,Strategix Training Group Pty Ltd,none,0732079950,Current
91223,"Strathfield College Pty Ltd
   Trading as:
Strathfield College",none,0412543183,Current
41253,"Student Development and Learning (SDL) Academy Pty Ltd
   Trading as:
Southern Cross School of Business",none,0296333287,Current
91058,Sureway Skills Training Pty Ltd,none,(02)69361900,Current
45046,"SWANN INTERNATIONAL PTY LTD
   Trading as:
Swann College",none,883110487,Current
3059,Swinburne University of Technology,none,1300794628,Current
45523,"Sydney Metropolitan International College Pty Ltd
   Trading as:
Sydney Metropolitan International College",none,0297441356,Current
90731,"Targett Retail Training Pty Ltd
   Trading as:
Target Training",none,1300736005,Current
45380,Techie International College Pty Ltd,none,0422647275,Current
50834,"Technology Transfer International (Australia) Pty Ltd
   Trading as:
Australian Institute of Technology Transfer",none,0882521455,Current
40882,"THE CANBERRA TRAINING SCHOOL PTY. LTD.
   Trading as:
CANBERRA BUSINESS & TECHNOLOGY COLLEGE
CBTC",none,0430790433,Current
41064,"THE FASHION INSTITUTE PTY LTD
   Trading as:
The Makeup Institute
The Institute Group Fashion Makeup Digital",none,0296989919,Current
31270,"The International Golf Institute Pty Ltd
   Trading as:
PGA International Golf Institute",none,756576110,Current
45443,The Lions Institute Pty Ltd,none,61292497800,Current
21694,"The Malka Group Pty Ltd
   Trading as:
THE MALKA GROUP
TMG College Australia",none,1300888864,Current
3927,"The Management Edge Pty Ltd
   Trading as:
TME Trade Training",none,0398740812,Current
