title,url,rating,discounted_price,original_price
Authentic Geekvape Obelisk 120 FC MOD without Fast Charger - Blue,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-mod-without-fast-charger-blue-p-21092.html,(0),$50.47,$79.68 
Authentic Geekvape Aegis Hero Pod Mod Kit - Black,https://www.cigabuy.com/authentic-geekvape-aegis-hero-pod-mod-kit-black-p-19995.html,(2),$27.25,$41.15 
Authentic Geekvape Obelisk 120 FC MOD without Fast Charger - Gunmetal,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-mod-without-fast-charger-gunmetal-p-21678.html,(0),$63.09,
Authentic Geekvape Aegis Max 100W TC Starter Kit - White Storm,https://www.cigabuy.com/authentic-geekvape-aegis-max-100w-tc-starter-kit-white-storm-p-18879.html,(5),$45.27,$76.47 
Authentic Geekvape Z Max Sub-Ohm Tank - Gold,https://www.cigabuy.com/authentic-geekvape-z-max-sub-ohm-tank-gold-p-21086.html,(1),$20.42,$31.81 
Authentic Geekvape Obelisk 120 FC MOD without Fast Charger - Gunmetal,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-mod-without-fast-charger-gunmetal-p-21093.html,(1),$50.47,$79.68 
5 x Authentic Geekvape M0.3 Dual Coil 0.3ohm,https://www.cigabuy.com/5-x-authentic-geekvape-m03-dual-coil-03ohm-p-21340.html,(0),$22.79,
Authentic Geekvape Z Max Sub-Ohm Tank  - SS,https://www.cigabuy.com/authentic-geekvape-z-max-sub-ohm-tank-ss-p-21081.html,(1),$20.42,$31.81 
Authentic Geekvape Wenax C1 Kit - White,https://www.cigabuy.com/authentic-geekvape-wenax-c1-kit-white-p-20496.html,(0),$15.68,$23.13 
Authentic Geekvape Obelisk Sub-Ohm Tank  - SS,https://www.cigabuy.com/authentic-geekvape-obelisk-sub-ohm-tank-ss-p-21080.html,(1),$16.58,$29.72 
Authentic Geekvape Zeus Nano Tank - Blue,https://www.cigabuy.com/authentic-geekvape-zeus-nano-tank-blue-p-19998.html,(2),$17.07,$27.07 
Authentic Geekvape Obelisk 120 FC Z Zeus Tank Kit no Fast Charger - Gunmetal,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-z-zeus-tank-kit-no-fast-charger-gunmetal-p-21089.html,(0),$99.63,
Authentic Geekvape Obelisk 120 FC Z Zeus Tank Kit without Fast Charger - SS,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-z-zeus-tank-kit-without-fast-charger-ss-p-21090.html,(0),$61.63,$99.63 
Authentic Geekvape L200 Aegis Legend 2 Kit - Grey,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-grey-p-21205.html,(0),$84.64,
Authentic Geekvape Wenax Stylus Pod Starter Kit - Granite Grey,https://www.cigabuy.com/authentic-geekvape-wenax-stylus-pod-starter-kit-granite-grey-p-19297.html,(2),$15.60,$23.82 
Authentic Geekvape Obelisk 120 FC MOD without Fast Charger - Black,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-mod-without-fast-charger-black-p-21091.html,(0),$79.68,
Authentic Geekvape L200 Aegis Legend 2 Kit - Red,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-red-p-21209.html,(0),$84.64,
Authentic Geekvape Wenax C1 Kit - Grey,https://www.cigabuy.com/authentic-geekvape-wenax-c1-kit-grey-p-20494.html,(0),$15.68,$23.13 
Authentic Geekvape Aegis Hero Pod Mod Kit - Red,https://www.cigabuy.com/authentic-geekvape-aegis-hero-pod-mod-kit-red-p-19993.html,(2),$26.90,$41.15 
Authentic Geekvape Mero AIO Kit - Silver,https://www.cigabuy.com/authentic-geekvape-mero-aio-kit-silver-p-20202.html,(3),$19.03,$25.77 
Authentic Geekvape Aegis Nano Pod Kit  - Camo Silver,https://www.cigabuy.com/authentic-geekvape-aegis-nano-pod-kit-camo-silver-p-21179.html,(0),$35.43,
Authentic Geekvape Aegis Nano Pod Kit  - Camo Green,https://www.cigabuy.com/authentic-geekvape-aegis-nano-pod-kit-camo-green-p-21178.html,(0),$35.43,
Authentic Geekvape Obelisk Sub-Ohm Tank  - Blue,https://www.cigabuy.com/authentic-geekvape-obelisk-sub-ohm-tank-blue-p-21079.html,(0),$16.49,$29.72 
Authentic Geekvape Obelisk 60 Pod Kit - Black,https://www.cigabuy.com/authentic-geekvape-obelisk-60-pod-kit-black-p-21173.html,(1),$46.81,
Authentic Geekvape Aegis Hero Pod Mod Kit - Silver,https://www.cigabuy.com/authentic-geekvape-aegis-hero-pod-mod-kit-silver-p-19991.html,(0),$25.43,$41.15 
Authentic Geekvape Obelisk C Sub-Ohm Tank - Black,https://www.cigabuy.com/authentic-geekvape-obelisk-sub-ohm-tank-black-p-21847.html,(0),$27.52,
Authentic Geekvape Zeus Nano Tank - Gunmetal,https://www.cigabuy.com/authentic-geekvape-zeus-nano-tank-gunmetal-p-20000.html,(4),$15.83,$27.07 
Authentic Geekvape Obelisk 120 FC Zeus Tank Kit without Fast Charger - Blue,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-zeus-tank-kit-without-fast-charger-blue-p-21088.html,(0),$61.63,$99.63 
Authentic Geekvape TALO X 24mm BF RDA - Black,https://www.cigabuy.com/authentic-geekvape-talo-x-24mm-bf-rda-black-p-20204.html,(1),$18.13,$25.86 
Authentic Geekvape Aegis Max 100W TC Starter Kit - Black Space,https://www.cigabuy.com/authentic-geekvape-aegis-max-100w-tc-starter-kit-black-space-p-18876.html,(3),$51.62,$76.47 
Authentic Geekvape Obelisk 120 FC MOD without Fast Charger - SS,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-mod-without-fast-charger-ss-p-21094.html,(0),$79.68,
Authentic Geekvape L200 Aegis Legend 2 Kit - Classic Black,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-classic-black-p-21817.html,(0),$64.34,
Authentic Geekvape Obelisk C Sub-Ohm Tank - Gunmetal,https://www.cigabuy.com/authentic-geekvape-obelisk-sub-ohm-tank-gunmetal-p-21845.html,(0),$27.52,
Authentic Geekvape Obelisk C Sub-Ohm Tank - SS,https://www.cigabuy.com/authentic-geekvape-obelisk-sub-ohm-tank-ss-p-21846.html,(0),$27.52,
Authentic Geekvape Obelisk C Sub-Ohm Tank - Blue,https://www.cigabuy.com/authentic-geekvape-obelisk-sub-ohm-tank-blue-p-21848.html,(0),$27.52,
Authentic Geekvape Wenax C1 Kit - Black,https://www.cigabuy.com/authentic-geekvape-wenax-c1-kit-black-p-20493.html,(0),$16.47,$23.13 
Authentic Geekvape TALO X 24mm BF RDA - Silver,https://www.cigabuy.com/authentic-geekvape-talo-x-24mm-bf-rda-silver-p-20205.html,(1),$18.21,$25.86 
Authentic Geekvape Z Max Sub-Ohm Tank - Gunmetal,https://www.cigabuy.com/authentic-geekvape-z-max-sub-ohm-tank-gunmetal-p-21795.html,(0),$27.18,
Authentic Geekvape Z Max Sub-Ohm Tank - Black,https://www.cigabuy.com/authentic-geekvape-z-max-sub-ohm-tank-black-p-21082.html,(1),$20.67,$31.81 
Authentic Geekvape TALO X 24mm BF RDA - Gunmetal,https://www.cigabuy.com/authentic-geekvape-talo-x-24mm-bf-rda-gunmetal-p-20206.html,(2),$15.31,$25.86 
Authentic Geekvape Aegis Max 100W TC Starter Kit - Grey Peal,https://www.cigabuy.com/authentic-geekvape-aegis-max-100w-tc-starter-kit-grey-peal-p-18877.html,(4),$48.31,$76.47 
Authentic Geekvape Z Max Sub-Ohm Tank - Blue,https://www.cigabuy.com/authentic-geekvape-z-max-sub-ohm-tank-blue-p-21084.html,(1),$21.33,$31.81 
Authentic Geekvape Wenax K1 Pod Kit - Gunmetal,https://www.cigabuy.com/authentic-geekvape-wenax-k1-pod-kit-gunmetal-p-20596.html,(0),$15.70,$24.92 
Authentic Geekvape Wenax C1 Kit - Blue,https://www.cigabuy.com/authentic-geekvape-wenax-c1-kit-blue-p-20495.html,(0),$15.68,$23.13 
Authentic Geekvape Obelisk 60 Pod Kit - Silver & Green,https://www.cigabuy.com/authentic-geekvape-obelisk-60-pod-kit-silver-green-p-21176.html,(0),$46.81,
Authentic Geekvape Obelisk Sub-Ohm Tank  - Gunmetal,https://www.cigabuy.com/authentic-geekvape-obelisk-sub-ohm-tank-gunmetal-p-21077.html,(0),$29.72,
Authentic Geekvape Obelisk 60 Pod Kit - Gunmetal,https://www.cigabuy.com/authentic-geekvape-obelisk-60-pod-kit-gunmetal-p-21174.html,(0),$46.81,
Authentic Geekvape Obelisk Sub-Ohm Tank  - Black,https://www.cigabuy.com/authentic-geekvape-obelisk-sub-ohm-tank-black-p-21078.html,(0),$29.72,
Authentic Geekvape Obelisk 60 Pod Kit - SS & Blue,https://www.cigabuy.com/authentic-geekvape-obelisk-60-pod-kit-ss-blue-p-21175.html,(0),$46.81,
Authentic Geekvape Aegis Solo 100W TC Box Mod - Gunmetal,https://www.cigabuy.com/authentic-geekvape-aegis-solo-100w-tc-box-mod-gunmetal-p-15072.html,(36),$41.88,
Authentic Geekvape G18 Starter Pen Kit - Wood,https://www.cigabuy.com/authentic-geekvape-g18-starter-pen-kit-wood-p-21771.html,(0),$24.64,
Authentic Geekvape G18 Starter Pen Kit - SS,https://www.cigabuy.com/authentic-geekvape-g18-starter-pen-kit-ss-p-21768.html,(0),$24.64,
Authentic Geekvape G18 Starter Pen Kit - Black,https://www.cigabuy.com/authentic-geekvape-g18-starter-pen-kit-black-p-21769.html,(0),$24.64,
Authentic Geekvape G18 Starter Pen Kit - Blue,https://www.cigabuy.com/authentic-geekvape-g18-starter-pen-kit-blue-p-21770.html,(0),$24.64,
